2026-06-06 22:01:50.295 | INFO     | backend.pipeline.news_pipeline:run_all:314 -   Done: {'mp_name': 'Rudra Narayan Pany', 'articles_fetched': 0, 'quotes_extracted': 0, 'statements_stored': 0, 'errors': []}
2026-06-06 22:01:52.297 | INFO     | backend.pipeline.news_pipeline:run_all:301 - Processing Anita Subhadarshini
2026-06-06 22:02:04.885 | INFO     | backend.pipeline.news_pipeline:run_all:314 -   Done: {'mp_name': 'Anita Subhadarshini', 'articles_fetched': 0, 'quotes_extracted': 0, 'statements_stored': 0, 'errors': []}
2026-06-06 22:02:06.887 | INFO     | backend.pipeline.news_pipeline:run_all:301 - Processing Jagannath Sarkar
2026-06-06 22:03:27.612 | INFO     | backend.pipeline.news_pipeline:run_all:314 -   Done: {'mp_name': 'Jagannath Sarkar', 'articles_fetched': 0, 'quotes_extracted': 0, 'statements_stored': 0, 'errors': []}
2026-06-06 22:03:29.614 | INFO     | backend.pipeline.news_pipeline:run_all:301 - Processing Annpurna Devi
2026-06-06 22:04:44.601 | INFO     | backend.pipeline.news_pipeline:run_all:314 -   Done: {'mp_name': 'Annpurna Devi', 'articles_fetched': 0, 'quotes_extracted': 0, 'statements_stored': 0, 'errors': []}
2026-06-06 22:04:46.602 | INFO     | backend.pipeline.news_pipeline:run_all:301 - Processing Jagdambika Pal
2026-06-06 22:06:05.385 | INFO     | backend.pipeline.news_pipeline:run_all:314 -   Done: {'mp_name': 'Jagdambika Pal', 'articles_fetched': 0, 'quotes_extracted': 0, 'statements_stored': 0, 'errors': []}
2026-06-06 22:06:07.387 | INFO     | backend.pipeline.news_pipeline:run_all:301 - Processing S Jothimani
2026-06-06 22:07:31.726 | INFO     | backend.pipeline.news_pipeline:run_all:314 -   Done: {'mp_name': 'S Jothimani', 'articles_fetched': 0, 'quotes_extracted': 0, 'statements_stored': 0, 'errors': []}
2026-06-06 22:07:33.727 | INFO     | backend.pipeline.news_pipeline:run_all:301 - Processing Jai Parkash
2026-06-06 22:09:26.806 | INFO     | backend.pipeline.news_pipeline:run_all:314 -   Done: {'mp_name': 'Jai Parkash', 'articles_fetched': 0, 'quotes_extracted': 0, 'statements_stored': 0, 'errors': []}
2026-06-06 22:09:28.808 | INFO     | backend.pipeline.news_pipeline:run_all:301 - Processing S P Singh Baghel
2026-06-06 22:10:34.459 | INFO     | backend.pipeline.news_pipeline:run_all:314 -   Done: {'mp_name': 'S P Singh Baghel', 'articles_fetched': 0, 'quotes_extracted': 0, 'statements_stored': 0, 'errors': []}
2026-06-06 22:10:36.460 | INFO     | backend.pipeline.news_pipeline:run_all:301 - Processing Anto Antony
2026-06-06 22:11:41.374 | INFO     | backend.pipeline.news_pipeline:run_all:314 -   Done: {'mp_name': 'Anto Antony', 'articles_fetched': 0, 'quotes_extracted': 0, 'statements_stored': 0, 'errors': []}
2026-06-06 22:11:43.375 | INFO     | backend.pipeline.news_pipeline:run_all:301 - Processing Jai Prakash
2026-06-06 22:12:52.581 | INFO     | backend.pipeline.news_pipeline:run_all:314 -   Done: {'mp_name': 'Jai Prakash', 'articles_fetched': 0, 'quotes_extracted': 0, 'statements_stored': 0, 'errors': []}
2026-06-06 22:12:54.583 | INFO     | backend.pipeline.news_pipeline:run_all:301 - Processing S Supongmeren Jamir
2026-06-06 22:13:09.523 | INFO     | backend.pipeline.news_pipeline:run_all:314 -   Done: {'mp_name': 'S Supongmeren Jamir', 'articles_fetched': 0, 'quotes_extracted': 0, 'statements_stored': 0, 'errors': []}
2026-06-06 22:13:11.524 | INFO     | backend.pipeline.news_pipeline:run_all:301 - Processing Anup Sanjay Dhotre
2026-06-06 22:13:20.802 | INFO     | backend.pipeline.news_pipeline:run_all:314 -   Done: {'mp_name': 'Anup Sanjay Dhotre', 'articles_fetched': 0, 'quotes_extracted': 0, 'statements_stored': 0, 'errors': []}
2026-06-06 22:13:22.803 | INFO     | backend.pipeline.news_pipeline:run_all:301 - Processing Janardan Mishra
2026-06-06 22:13:54.031 | INFO     | backend.pipeline.news_pipeline:run_all:314 -   Done: {'mp_name': 'Janardan Mishra', 'articles_fetched': 0, 'quotes_extracted': 0, 'statements_stored': 0, 'errors': []}
2026-06-06 22:13:56.032 | INFO     | backend.pipeline.news_pipeline:run_all:301 - Processing S Venkatesan
2026-06-06 22:14:55.631 | INFO     | backend.pipeline.news_pipeline:run_all:314 -   Done: {'mp_name': 'S Venkatesan', 'articles_fetched': 0, 'quotes_extracted': 0, 'statements_stored': 0, 'errors': []}
2026-06-06 22:14:57.632 | INFO     | backend.pipeline.news_pipeline:run_all:301 - Processing Anupriya Patel
2026-06-06 22:16:23.804 | INFO     | backend.pipeline.news_pipeline:run_all:314 -   Done: {'mp_name': 'Anupriya Patel', 'articles_fetched': 0, 'quotes_extracted': 0, 'statements_stored': 0, 'errors': []}
2026-06-06 22:16:25.806 | INFO     | backend.pipeline.news_pipeline:run_all:301 - Processing Janardan Singh Sigriwal
2026-06-06 22:16:58.639 | INFO     | backend.pipeline.news_pipeline:run_all:314 -   Done: {'mp_name': 'Janardan Singh Sigriwal', 'articles_fetched': 0, 'quotes_extracted': 0, 'statements_stored': 0, 'errors': []}
2026-06-06 22:17:00.641 | INFO     | backend.pipeline.news_pipeline:run_all:301 - Processing Sachithanantham R
2026-06-06 22:17:17.765 | INFO     | backend.pipeline.news_pipeline:run_all:314 -   Done: {'mp_name': 'Sachithanantham R', 'articles_fetched': 0, 'quotes_extracted': 0, 'statements_stored': 0, 'errors': []}
2026-06-06 22:17:19.766 | INFO     | backend.pipeline.news_pipeline:run_all:301 - Processing Anurag Sharma
2026-06-06 22:18:46.792 | WARNING  | backend.agents.statement_agent:_call_llm:97 - Groq rate limit hit (llama-3.3-70b-versatile), falling back to Ollama: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k8z2tgj1ezjbwz5qv57a5s85` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99282, Requested 1280. Please try again in 8m5.568s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-06-06 22:18:56.339 | WARNING  | backend.agents.statement_agent:_call_llm:97 - Groq rate limit hit (llama-3.3-70b-versatile), falling back to Ollama: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k8z2tgj1ezjbwz5qv57a5s85` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99271, Requested 1027. Please try again in 4m17.471999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-06-06 22:19:01.166 | WARNING  | backend.agents.statement_agent:_call_llm:97 - Groq rate limit hit (llama-3.3-70b-versatile), falling back to Ollama: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k8z2tgj1ezjbwz5qv57a5s85` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99266, Requested 1281. Please try again in 7m52.608s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-06-06 22:19:06.549 | WARNING  | backend.agents.statement_agent:_call_llm:97 - Groq rate limit hit (llama-3.3-70b-versatile), falling back to Ollama: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k8z2tgj1ezjbwz5qv57a5s85` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99260, Requested 1026. Please try again in 4m7.104s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-06-06 22:19:11.254 | WARNING  | backend.agents.statement_agent:_call_llm:97 - Groq rate limit hit (llama-3.3-70b-versatile), falling back to Ollama: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k8z2tgj1ezjbwz5qv57a5s85` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99254, Requested 1268. Please try again in 7m31.008s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-06-06 22:19:15.913 | WARNING  | backend.agents.statement_agent:_call_llm:97 - Groq rate limit hit (llama-3.3-70b-versatile), falling back to Ollama: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k8z2tgj1ezjbwz5qv57a5s85` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99249, Requested 1279. Please try again in 7m36.192s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-06-06 22:19:20.828 | WARNING  | backend.agents.statement_agent:_call_llm:97 - Groq rate limit hit (llama-3.3-70b-versatile), falling back to Ollama: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k8z2tgj1ezjbwz5qv57a5s85` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99243, Requested 1031. Please try again in 3m56.736s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-06-06 22:19:25.870 | WARNING  | backend.agents.statement_agent:_call_llm:97 - Groq rate limit hit (llama-3.3-70b-versatile), falling back to Ollama: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k8z2tgj1ezjbwz5qv57a5s85` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99237, Requested 1269. Please try again in 7m17.184s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}
2026-06-06 22:19:39.314 | WARNING  | backend.agents.statement_agent:extract_quotes:181 - Quote extraction attempt 1 failed: Unterminated string starting at: line 111 column 18 (char 5468)
2026-06-06 22:20:06.783 | WARNING  | backend.agents.statement_agent:extract_quotes:181 - Quote extraction attempt 2 failed: Unterminated string starting at: line 111 column 18 (char 5468)
2026-06-06 22:20:39.649 | WARNING  | backend.agents.statement_agent:extract_quotes:181 - Quote extraction attempt 3 failed: Unterminated string starting at: line 111 column 18 (char 5468)
